Variable;Label;Format;;;
hhnr;Haushaltsnummer;8.3;;;
etnr;Etappennummer;8;;;
HAF_FID;Old (2015) name of the variable;$20.;;;
f51300;f51300_Benutztes Verkehrsmittel;F51300A.;;;
HAF_Fahrten_Seq;NA;8;;;
route_id;Routennummer im GTFS-Fahrplan (für Etappen vor dem Fahrplanwechsel vom Dezember 2021, GTFS-Datei vom 16.12.2020);;;;
trip_id;Reisenummer im GTFS-Fahrplan (neue Name fr HAF_FID);;;;
route_desc;Verkehrsmittel im GTFS-Fahrplan (aus der Datei routes.txt);ROUTEDESCA;;;
zugtyp;Zugtyp;ZUGTYPA;;;
